,0,1,2,3,4,5
purchase,-34424.99999999999,0.0,0.0,0.0,0.0,0.0
cash_flow_operations,0.0,4829.864274385496,7346.113794385499,7611.080799985499,7883.996815753499,8165.100311994539
cash_flow_sale,0.0,0.0,0.0,0.0,0.0,23271.047764745483
totals,-34424.99999999999,4829.864274385496,7346.113794385499,7611.080799985499,7883.996815753499,31436.14807674002
